store_number,store_url,name,street,city,state,postal_code,country,phone,facility_type,latitude,longitude,hours,complete_address
157845,https://www.nike.com/retail/s/耐克西安赛格购物中心体验店,耐克西安赛格购物中心体验店,西安市雁塔区长安中路123号小寨赛格国际购物中心  ,西安,陕西,710061,CN,+029-89329313,FRANCHISEE_PARTNER_STORE,34.223506,108.948486,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",西安市雁塔区长安中路123号小寨赛格国际购物中心   西安 陕西 710061
4035,https://www.nike.com/retail/s/耐克青岛火炬优选体验店,NIKE青岛火炬优选体验店,青岛市高新区火炬路308号首创奥特莱斯F1区E9-E10  ,青岛市,山东省,266108,CN,+1,NIKE_OWNED_STORE,36.14064,120.13503,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",青岛市高新区火炬路308号首创奥特莱斯F1区E9-E10   青岛市 山东省 266108
PO1206,https://www.nike.com/retail/s/nike-store-royal-wilanow-partnered,Nike Store Royal Wilanow (Partnered),Klimczaka 1  ,Warszawa,,02-797,PL,+48 533387888,FRANCHISEE_PARTNER_STORE,52.161199,21.074999,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 07:00",Klimczaka 1   Warszawa  02-797
206,https://www.nike.com/retail/s/nike-factory-store-lubbock,Nike Factory Store - Lubbock,West End Shopping Center Lubbock 2910 W Loop 289 Suite 805 ,Lubbock,TX,79407,US,+1 (806) 785-1321,NIKE_OWNED_STORE,33.567597,-101.947408,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 07:00",West End Shopping Center Lubbock 2910 W Loop 289 Suite 805  Lubbock TX 79407
70,https://www.nike.com/retail/s/nike-factory-store-oshkosh,Nike Factory Store - Oshkosh,The Outlet Shoppes at Oshkosh 3001 S Washburn Suite A10 ,Oshkosh,WI,54904,US,+1 (920) 232-1002,NIKE_OWNED_STORE,43.985282,-88.584373,"monday:10:00 - 06:00, tuesday:10:00 - 06:00, wednesday:10:00 - 06:00, thursday:10:00 - 06:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 06:00",The Outlet Shoppes at Oshkosh 3001 S Washburn Suite A10  Oshkosh WI 54904
3764,https://www.nike.com/retail/s/耐克杭州望江换季优惠店,NIKE杭州望江换季优惠店,上城区望江东路333号物美超市一楼  ,杭州,浙江省,310002,CN,+86 571-87069612,NIKE_OWNED_STORE,30.22866,120.19085,"monday:08:00 - 09:00, tuesday:08:00 - 09:00, wednesday:08:00 - 09:00, thursday:08:00 - 09:00, friday:08:00 - 09:00, saturday:08:00 - 09:00, sunday:08:00 - 09:00",上城区望江东路333号物美超市一楼   杭州 浙江省 310002
4003,https://www.nike.com/retail/s/耐克苏州开平换季优惠店,NIKE苏州开平换季优惠店,吴江区开平路3688号独栋3号楼  ,苏州,江苏省,215200,CN,+86 512-86872986,NIKE_OWNED_STORE,31.136424,120.595135,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 08:00",吴江区开平路3688号独栋3号楼   苏州 江苏省 215200
6311,https://www.nike.com/retail/s/nike-factory-store-zona-norte,Nike Factory Store - Zona Norte,"Rodovia Presidente Dutra, km 222, 3, Guarulhos  ",SaoPaulo,SP,07034-000,BR,(11) 55247270,NIKE_OWNED_STORE,-23.4431,-46.5245,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 08:00","Rodovia Presidente Dutra, km 222, 3, Guarulhos   SaoPaulo SP 07034-000"
961,https://www.nike.com/retail/s/liege-nike-factory-store,Nike Factory Store Liege,Chaussee de Tongres 269  ,Liege,,4000,BE,+32 04 366 13 28,NIKE_OWNED_STORE,50.669544,5.544858,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 07:00, friday:10:00 - 07:00, saturday:10:00 - 07:00, sunday:Closed",Chaussee de Tongres 269   Liege  4000
QAT006,https://www.nike.com/retail/s/nike-doha-city-centre,Nike Doha City Centre,Doha City Centre  ,Doha,,,QA,97444377987,FRANCHISEE_PARTNER_STORE,25.325745,51.530583,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 12:00, friday:10:00 - 12:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",Doha City Centre   Doha  
5967,https://www.nike.com/retail/s/nike-factory-store-drive-and-dine,Nike Factory Store - Drive and Dine,NLEX Drive and Dine Km. 17 Southbound Brgy. Canumay West Dist. 1 ,Valenzuela City,Metro Manila,1443,PH,0917 700 1351,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,14.71808,120.98707,"monday:09:00 - 09:00, tuesday:09:00 - 09:00, wednesday:09:00 - 09:00, thursday:09:00 - 09:00, friday:09:00 - 09:00, saturday:09:00 - 09:00, sunday:09:00 - 09:00",NLEX Drive and Dine Km. 17 Southbound Brgy. Canumay West Dist. 1  Valenzuela City Metro Manila 1443
1367,https://www.nike.com/retail/s/nike-icon-siam,Nike Icon Siam,299 Charoen Nakhon Road Unit 215-216 Floor 2 Khlong Ton Sai Khlong Sam,Bangkok,Bangkok,10600,TH,+6620043600,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,13.72659,100.51048,"monday:11:00 - 09:00, tuesday:11:00 - 09:00, wednesday:11:00 - 09:00, thursday:11:00 - 09:00, friday:11:00 - 09:00, saturday:11:00 - 09:00, sunday:11:00 - 09:00",299 Charoen Nakhon Road Unit 215-216 Floor 2 Khlong Ton Sai Khlong Sam Bangkok Bangkok 10600
1917,https://www.nike.com/retail/s/nike-banjara,Nike Banjara,"Shop No. # 6-3-344/A/4-5-6, Ground Floor, Cupid Curve, Rd.-1, Banjara Hills  ",Hyderabad,Telangana,500034,IN,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,17.422323,78.449673,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","Shop No. # 6-3-344/A/4-5-6, Ground Floor, Cupid Curve, Rd.-1, Banjara Hills   Hyderabad Telangana 500034"
3194,https://www.nike.com/retail/s/nike-by-shibuya-scramble,Nike by Shibuya Scramble,渋谷二丁目24番12号 渋谷スクランブルスクエア 2F ,渋谷区,東京都,150-0002,JP,+81 3 3409 2806,NIKE_OWNED_STORE,35.6585362,139.7020824,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",渋谷二丁目24番12号 渋谷スクランブルスクエア 2F  渋谷区 東京都 150-0002
269308,https://www.nike.com/retail/s/广东省深圳市宝安区壹方城-beacon-l2-m750,广东省深圳市宝安区壹方城 BEACON-L2-M(750),广东深圳宝安区新湖路99号壹方城3F  ,深圳,广东,518101,CN,13590172728,FRANCHISEE_PARTNER_STORE,22.55259448649435,113.88762945371313,"monday:08:00 - 10:00, tuesday:08:00 - 10:00, wednesday:08:00 - 10:00, thursday:08:00 - 10:00, friday:08:00 - 10:00, saturday:08:00 - 10:00, sunday:08:00 - 10:00",广东深圳宝安区新湖路99号壹方城3F   深圳 广东 518101
209,https://www.nike.com/retail/s/nike-factory-store-tejon-ranch,Nike Factory Store - Tejon Ranch,Tejon Ranch 5701 Outlets at Tejon Pkwy. Suite 300 ,Arvin,CA,93203,US,+1 (661) 858-2151,NIKE_OWNED_STORE,34.984494,-118.941877,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:10:00 - 08:00",Tejon Ranch 5701 Outlets at Tejon Pkwy. Suite 300  Arvin CA 93203
8436,https://www.nike.com/retail/s/nike-abreeza,Nike Abreeza,"2095, Abreeza Mall, J.P. Laurel Ave, Bajada ",Davao City,Davao Del Sur,8000,PH,+63823210081,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,7.0914175431591,125.611442267584,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00","2095, Abreeza Mall, J.P. Laurel Ave, Bajada  Davao City Davao Del Sur 8000"
ROM048,https://www.nike.com/retail/s/nike-galati,Nike Galati,George Cosbuc Blvd.251  ,Galati,,800552,RO,40749020273,FRANCHISEE_PARTNER_STORE,45.28881,27.944348,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",George Cosbuc Blvd.251   Galati  800552
5090057,https://www.nike.com/retail/s/nike-mandurriao,Nike Mandurriao,"Upper GF, SM City Iloilo  ",Iloilo City,Iloilo,5000,PH,1-800-344-6453,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,10.71356,122.55087,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00","Upper GF, SM City Iloilo   Iloilo City Iloilo 5000"
274353,https://www.nike.com/retail/s/武珞路武商梦时代广场（武商亚贸二期）b1 nike rise,湖北省武汉市武昌区武珞路武商梦时代广场（武商亚贸二期）B1 NIKE RISE,武汉市武昌区武珞路628号梦时代1F  ,WUHAN,CHINA,430071,CN,18571715388,FRANCHISEE_PARTNER_STORE,30.52872,114.340826,"monday:08:00 - 09:00, tuesday:08:00 - 09:00, wednesday:08:00 - 09:00, thursday:08:00 - 09:00, friday:08:00 - 09:00, saturday:08:00 - 09:00, sunday:08:00 - 09:00",武汉市武昌区武珞路628号梦时代1F   WUHAN CHINA 430071
8834,https://www.nike.com/retail/s/nike-robina,Nike Robina,Robina Town Centre Robina Town Centre Dr. Shop 4026,Robina,Queensland,4230,AU,+61 7 5578 8922,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,-28.07608915561369,153.38551355303161,"monday:09:00 - 05:00, tuesday:09:00 - 05:00, wednesday:09:00 - 05:00, thursday:09:00 - 09:00, friday:09:00 - 05:00, saturday:09:00 - 05:00, sunday:10:00 - 04:00",Robina Town Centre Robina Town Centre Dr. Shop 4026 Robina Queensland 4230
160,https://www.nike.com/retail/s/nike-unite-south-chicago,Nike Unite - South Chicago,Chatham Village Square 8510 S Cottage Grove Ave. ,Chicago,IL,60619,US,+1 (773) 846-5460,NIKE_OWNED_STORE,41.739983,-87.605349,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 07:00, friday:10:00 - 07:00, saturday:10:00 - 07:00, sunday:11:00 - 06:00",Chatham Village Square 8510 S Cottage Grove Ave.  Chicago IL 60619
BUL019,https://www.nike.com/retail/s/nike-serdika-mall,Nike Serdika Mall,48 Sytniakovo Blvd.  ,Sofia,,01505,BG,359897000261,FRANCHISEE_PARTNER_STORE,42.691673,23.354623,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",48 Sytniakovo Blvd.   Sofia  01505
2344,https://www.nike.com/retail/s/fox-nsp-sarona-tlv,Nike Sarona (Partnered),Menachem Begin 121 st’  ,Tel Aviv,Israel,66183,IL,+972 3 5081938,FRANCHISEE_PARTNER_STORE,32.093423,34.832177,"monday:09:00 - 10:00, tuesday:09:00 - 10:00, wednesday:09:00 - 10:00, thursday:09:00 - 10:00, friday:09:00 - 03:00, saturday:10:00 - 11:00, sunday:09:00 - 10:00",Menachem Begin 121 st’   Tel Aviv Israel 66183
4000,https://www.nike.com/retail/s/耐克武汉佛祖岭换季优惠店,NIKE武汉佛祖岭换季优惠店,东湖新技术开发区高新二路139号首创奥特莱斯 第F1区 D16/D01/D02/D03/D05/D06A单元 ,武汉,湖北省,430205,CN,+86 27-59267295,NIKE_OWNED_STORE,30.47665,114.46146,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:10:00 - 09:00",东湖新技术开发区高新二路139号首创奥特莱斯 第F1区 D16/D01/D02/D03/D05/D06A单元  武汉 湖北省 430205
KUW104,https://www.nike.com/retail/s/nike-discovery-mall,Nike Discovery Mall,Discovery Mall  ,Kuwait City,,,KW,00 965 22913653,FRANCHISEE_PARTNER_STORE,29.213904,47.585355,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",Discovery Mall   Kuwait City  
243767,https://www.nike.com/retail/s/耐克合肥百大休闲广场kicks-lounge体验店,安徽省合肥市宝胜合肥淮河路百大休闲广场KL1,安徽省合肥市庐阳区淮河路步行街百大休闲广场1F  ,合肥,安徽,230000,CN,+0551-62611375,MONO_BRAND_NON_FRANCHISEE_PARTNER_STORE,31.864116,117.297459,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 11:00, saturday:10:00 - 11:00, sunday:10:00 - 10:00",安徽省合肥市庐阳区淮河路步行街百大休闲广场1F   合肥 安徽 230000
96692,https://www.nike.com/retail/s/nike-by-konkuk-univ,나이키 바이 건대,아차산로 200  ,광진구,서울특별시,05071,KR,+82 2 3409 2094,FRANCHISEE_PARTNER_STORE,37.54142471,127.0656217,"monday:11:00 - 10:00, tuesday:11:00 - 10:00, wednesday:11:00 - 10:00, thursday:11:00 - 10:00, friday:11:00 - 10:00, saturday:11:00 - 10:00, sunday:11:00 - 10:00",아차산로 200   광진구 서울특별시 05071
49115,https://www.nike.com/retail/s/nike-deokcheon-tower,나이키 덕천,만덕대로 20-1  ,북구,부산광역시,46576,KR,+82 51 341 8888,FRANCHISEE_PARTNER_STORE,35.21060599,129.0074419,"monday:11:00 - 09:00, tuesday:11:00 - 09:00, wednesday:11:00 - 09:00, thursday:11:00 - 09:00, friday:11:00 - 09:00, saturday:11:00 - 09:00, sunday:11:00 - 09:00",만덕대로 20-1   북구 부산광역시 46576
172,https://www.nike.com/retail/s/nike-factory-store-nashville,Nike Factory Store - Nashville,Opry Mills Mall 167 Opry Mills Dr. ,Nashville,TN,37214,US,+1 (615) 514-0204,NIKE_OWNED_STORE,36.20399,-86.691497,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 08:00, saturday:10:00 - 08:00, sunday:11:00 - 06:00",Opry Mills Mall 167 Opry Mills Dr.  Nashville TN 37214
5033917,https://www.nike.com/retail/s/nike-glorietta,Nike Glorietta,"Unit 227, 2nd Floor, Glorietta 3 Ayala Center ",Makati City,,1224,PH,(02) 5569427,FRANCHISEE_PARTNER_STORE,14.5514377,121.0256947,"monday:10:00 - 09:00, tuesday:10:00 - 09:00, wednesday:10:00 - 09:00, thursday:10:00 - 09:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00","Unit 227, 2nd Floor, Glorietta 3 Ayala Center  Makati City  1224"
PD1,https://www.nike.com/retail/s/nike-metrotown,Nike Metrotown,4700 Kingsway Unit 1221 ,Burnaby,British Columbia,V5H 4M1,CA,6044306453,FRANCHISEE_PARTNER_STORE,49.226877,-123.000507,"monday:10:00 - 07:00, tuesday:10:00 - 07:00, wednesday:10:00 - 07:00, thursday:10:00 - 07:00, friday:10:00 - 07:00, saturday:10:00 - 07:00, sunday:Closed",4700 Kingsway Unit 1221  Burnaby British Columbia V5H 4M1
84701,https://www.nike.com/retail/s/nike-shinsaegae-gangnam-sports,나이키 신세계 강남 스포츠,신반포로 176 신세계백화점 신관 8층  ,서초구,서울특별시,06546,KR,02-3479-6233,FRANCHISEE_PARTNER_STORE,37.50415,127.00306,"monday:10:30 - 07:30, tuesday:10:30 - 07:30, wednesday:10:30 - 07:30, thursday:10:30 - 07:30, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30",신반포로 176 신세계백화점 신관 8층   서초구 서울특별시 06546
224,https://www.nike.com/retail/s/nike-factory-store-norfolk,Nike Factory Store - Norfolk,Norfolk Premium Outlets 1600 Premium Outlets Suite 301 ,Norfolk,VA,23502,US,(757) 776-0694,NIKE_OWNED_STORE,36.881997,-76.199543,"monday:10:00 - 08:00, tuesday:10:00 - 08:00, wednesday:10:00 - 08:00, thursday:10:00 - 08:00, friday:10:00 - 09:00, saturday:10:00 - 09:00, sunday:11:00 - 07:00",Norfolk Premium Outlets 1600 Premium Outlets Suite 301  Norfolk VA 23502
2766,https://www.nike.com/retail/s/adrenaline-kaskada-szczecin,Adrenaline Kaskada Szczecin,"Wyzwolenia 18/20, 70-532 Szczecin  ",SZCZECIN,,70-532,PL,1-800-344-6453,FRANCHISEE_PARTNER_STORE,53.4337619,14.5558731,"monday:08:00 - 08:00, tuesday:08:00 - 08:00, wednesday:08:00 - 08:00, thursday:08:00 - 08:00, friday:08:00 - 08:00, saturday:08:00 - 08:00, sunday:08:00 - 08:00","Wyzwolenia 18/20, 70-532 Szczecin   SZCZECIN  70-532"
3705,https://www.nike.com/retail/s/耐克南宁沙井店换季优惠店,NIKE南宁沙井换季优惠店,江南区沙井大道56号华南城4号广场一层  ,南宁,广西壮族自治区,530033,CN,+86 771-4739649,NIKE_OWNED_STORE,22.80222,108.240115,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:09:30 - 09:30, sunday:09:30 - 09:30",江南区沙井大道56号华南城4号广场一层   南宁 广西壮族自治区 530033
SER014,https://www.nike.com/retail/s/nike-store-galerija,Nike Store Galerija,Bulevar Vudro Vilsona 12  ,Belgrade,,11000,RS,+381698870038,FRANCHISEE_PARTNER_STORE,44.8036439437365,20.4466362767214,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",Bulevar Vudro Vilsona 12   Belgrade  11000
2618,https://www.nike.com/retail/s/nsp-forummarmara,Nike Store Marmara Forum (Partnered),Osmaniye Mah. Çobançeşme Koşuyolu Bulv. Forum Marmara Avm. No:3 Bakırköy ,İSTANBUL,,34000,TR,+90 212 466 68 58,FRANCHISEE_PARTNER_STORE,40.997456,28.885941,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",Osmaniye Mah. Çobançeşme Koşuyolu Bulv. Forum Marmara Avm. No:3 Bakırköy  İSTANBUL  34000
6174,https://www.nike.com/retail/s/nike-factory-store-birkenhead-point,Nike Factory Store - Birkenhead Point,Birkenhead Point Shopping Centre 19 Roseby St. ,Drummoyne,New South Wales,2047,AU,61291814970,NIKE_OWNED_STORE,-33.855159,151.162926,"monday:10:00 - 05:00, tuesday:10:00 - 05:00, wednesday:10:00 - 05:00, thursday:10:00 - 07:00, friday:10:00 - 05:00, saturday:09:00 - 06:00, sunday:10:00 - 06:00",Birkenhead Point Shopping Centre 19 Roseby St.  Drummoyne New South Wales 2047
3806,https://www.nike.com/retail/s/耐克深圳高尔夫换季优惠店,NIKE深圳高尔夫换季优惠店,龙华新区观澜高尔夫大道8号MH Mall  ,深圳,广东省,518110,CN,+86 755-33376701,NIKE_OWNED_STORE,22.722616,114.076454,"monday:10:00 - 10:00, tuesday:10:00 - 10:00, wednesday:10:00 - 10:00, thursday:10:00 - 10:00, friday:10:00 - 10:00, saturday:10:00 - 10:00, sunday:10:00 - 10:00",龙华新区观澜高尔夫大道8号MH Mall   深圳 广东省 518110
951,https://www.nike.com/retail/s/nike-factory-store-cape-town,Nike Factory Store Cape Town,Access Park Kenillworth Chichester St. Unit C7,Cape Town,,7708,ZA,+27 (0)87 7588621,NIKE_OWNED_STORE,-33.98814,18.48903,"monday:09:00 - 05:00, tuesday:09:00 - 05:00, wednesday:09:00 - 05:00, thursday:09:00 - 05:00, friday:09:00 - 05:00, saturday:09:00 - 04:00, sunday:09:00 - 02:00",Access Park Kenillworth Chichester St. Unit C7 Cape Town  7708
83316,https://www.nike.com/retail/s/nike-lotte-gunsan,나이키 롯데 군산,조촌로 130 롯데아울렛 군산점 2층  ,군산시,전라북도,54072,KR,+82 63 447 0249,FRANCHISEE_PARTNER_STORE,36.00651459,126.7382193,"monday:11:00 - 09:00, tuesday:11:00 - 09:00, wednesday:11:00 - 09:00, thursday:11:00 - 09:00, friday:10:30 - 08:30, saturday:10:30 - 08:30, sunday:10:30 - 08:30",조촌로 130 롯데아울렛 군산점 2층   군산시 전라북도 54072
